노선번호,﻿ISC노선ID,회사명,기점정류소명,종점정류소명,기점첫차시간,기점막차시간,운행시간,노선인가거리,면허대수,인가운행횟수,최소배차간격,최대배차간격,평균배차간격
558,28228003,태양여객,진산초등학교,부평역,05:30:00,2330,01:24:00,13.17,6,77,11,17,00:14:00
560,28511012,해성운수,부평구청,부평구청,06:05:00,2405,00:37:00,5,3,116,7,12,00:07:00
561,28224002,대인교통,희망천입구,부평시장(한남프라자),06:00:00,2410,00:55:00,10.31,7,120,8,10,00:09:00
562,28231003,삼성여객,금호아파트,부평역(대한극장),06:00:00,2340,00:36:00,6,4,117,7,11,00:09:00
564,28511008,해성운수,간석역,(구)현대백화점,05:20:00,2400,01:01:00,10,5,91,10,14,00:12:00
564-1,28511009,해성운수,백운역,인천세무고,05:30:00,2415,00:15:00,1.59,1,75,11,19,00:11:00
564-2,28511013,해성운수,현대아파트,동암남부역,05:20:00,2400,00:43:00,6.79,4,104,8,14,00:08:00
565,28206009,명진교통,진산초등학교,부평역,05:30:00,2330,01:27:00,13.9,8,99,9,13,00:11:00
566,28223002,삼환운수,산업단지사거리,시청광장입구,05:30:00,2305,01:46:00,19.34,4,39,23,30,00:26:30
567,28223001,삼환운수,대우아파트,백운역,05:30:00,2405,00:50:00,7.8,6,133,7,11,00:07:00
569,28231005,삼성여객,한신 휴아파트,백운역,05:30:00,2406,00:37:00,5.9,4,120,8,11,00:08:00
57(강화),28032084,강화선진버스,강화터미널,강화터미널,06:25:00,1820,03:40:00,1,1,4,90,520,01:30:00
570,28231006,삼성여객,한신 휴아파트,부평시장,05:40:00,2400,00:48:00,8.61,4,112,8,11,00:09:30
571,28228002,태양여객,차고지,부평역,05:25:00,2330,01:10:00,13,7,91,12,12,00:12:00
572,28510008,신화여객,신영자동차,삼산월드체육관,06:00:00,2300,01:12:00,12,5,70,12,17,00:14:30
574,28224001,대인교통,뉴서울1차아파트,부평역(27번출구),05:30:00,2345,00:53:00,8.97,9,186,5,7,00:05:00
